127.0.0.1 - - [24/Feb/2020:18:52:20 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:21 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:31 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:31 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:31 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:31 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:31 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:31 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:31 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:31 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:31 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:31 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:32 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:32 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:32 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:52:33 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:53:01 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=njrbtst&agencyid=DRJAET&filedate=2020-01-24&trxDate=2020-01-07&ViolType=NOR&NumNotice=2&violnumber=5 HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:53:23 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:53:32 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:53:51 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:54:06 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:54:22 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [24/Feb/2020:18:54:23 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
