127.0.0.1 - - [10/Mar/2020:13:37:56 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:37:57 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:38:04 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:38:06 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:38:19 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:38:58 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=NJTP&filedate=2020-02-13&trxDate=2020-02-03&ViolType=NOR&NumNotice=50&violnumber=5 HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:39:54 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:40:06 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:40:32 +0530] "GET /WebApp-01/IMG/status3.png HTTP/1.1" 200 63634
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:40:39 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 156219
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:41:24 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 156219
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:41:51 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 27110
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:36 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:36 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:36 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:36 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P6 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:36 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:36 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:40 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P12 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:40 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P7 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:40 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P11 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:40 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P9 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:40 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P10 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:40 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P8 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:44 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P13 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:44 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P17 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:44 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P14 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:44 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P16 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:44 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P15 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:44 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P18 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:48 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P19 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:48 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P20 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:48 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P21 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:48 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P23 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2020:13:42:48 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=B3R4P22 HTTP/1.1" 200 -
