127.0.0.1 - - [23/Apr/2020:11:35:56 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:35:57 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:36:02 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:36:04 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:36:05 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:36:41 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=NJTP&filedate=2020-03-12&trxDate=2020-03-10&ViolType=NOR&NumNotice=1&violnumber=2 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:37:19 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:38:40 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:39:00 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:39:29 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:40:00 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=GSP&filedate=2020-03-12&trxDate=2020-03-10&ViolType=NOR&NumNotice=1&violnumber=2 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:40:39 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:42:44 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:43:07 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4280
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:43:21 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:43:42 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=DRJ&filedate=2020-03-12&trxDate=2020-03-10&ViolType=NOR&NumNotice=1&violnumber=2 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:44:03 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:44:13 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:44:20 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:45:29 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:45:51 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4279
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:47:55 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:48:30 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=DRBA&filedate=2020-03-12&trxDate=2020-03-10&ViolType=NOR&NumNotice=1&violnumber=2 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:49:45 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:52:44 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:53:06 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:53:21 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:53:38 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=DRPA&filedate=2020-03-12&trxDate=2020-03-10&ViolType=NOR&NumNotice=1&violnumber=2 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:54:06 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:54:59 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:55:22 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:55:43 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:56:13 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=SJTA&filedate=2020-03-12&trxDate=2020-03-10&ViolType=NOR&NumNotice=1&violnumber=2 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:56:40 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 500 2825
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:56:43 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 500 2662
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:57:10 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:58:30 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [23/Apr/2020:11:58:53 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Apr/2020:15:14:36 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [23/Apr/2020:15:14:59 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=SJTA&filedate=2020-03-13&trxDate=2020-03-10&ViolType=NOR&NumNotice=1&violnumber=2 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [23/Apr/2020:15:18:21 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [23/Apr/2020:15:22:15 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [23/Apr/2020:15:22:51 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:39:53 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:40:38 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=DRBA&filedate=2020-03-14&trxDate=2020-03-10&ViolType=NOR&NumNotice=1&violnumber=2 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:41:05 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:41:51 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:42:13 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:42:31 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:43:24 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=GSP&filedate=2020-03-14&trxDate=2020-03-10&ViolType=NOR&NumNotice=1&violnumber=2 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:44:10 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:46:11 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:46:34 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:03:01 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:04:27 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=DRBA&filedate=2020-04-08&trxDate=2020-03-10&ViolType=NOR&NumNotice=2&violnumber=3 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:05:30 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 500 7625
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:10:19 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:10:30 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:10:30 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:10:30 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [23/Apr/2020:20:10:30 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
