127.0.0.1 - - [30/Jul/2020:19:41:48 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:41:55 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:41:55 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:41:55 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:41:55 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:41:55 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:41:55 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:41:55 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:41:55 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:41:55 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:41:55 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:41:57 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:41:57 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:42:15 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:42:15 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:42:16 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:42:16 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:42:16 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:42:16 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:42:16 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:42:16 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:42:16 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:42:16 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:42:16 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:42:16 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:42:16 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:43:23 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:45:28 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:45:31 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:45:32 +0530] "GET /WebApp-01/index.jsp HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:48:30 +0530] "GET /WebApp-01/IMG/statusNTA.png HTTP/1.1" 200 66929
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:48:31 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 27702
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:48:42 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:50:37 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=NJTP&filedate=2020-07-17&trxDate=2020-07-07&ViolType=NOR&NumNotice=2&violnumber=5 HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:51:23 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:51:43 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:52:07 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 9197
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:52:56 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 9194
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:52:56 +0530] "GET /WebApp-01/IMG/status4.png HTTP/1.1" 200 37888
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:53:08 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:53:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=AD7AD1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:53:34 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=AD7AD2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:55:24 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 9154
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:55:24 +0530] "GET /WebApp-01/IMG/status5.png HTTP/1.1" 200 38195
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:56:06 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:56:37 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 9154
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:56:37 +0530] "GET /WebApp-01/IMG/status6.png HTTP/1.1" 200 64324
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:57:01 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:57:24 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 9384
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:57:24 +0530] "GET /WebApp-01/IMG/status7.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:57:52 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 6379
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:59:18 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:59:41 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 9178
0:0:0:0:0:0:0:1 - - [30/Jul/2020:19:59:41 +0530] "GET /WebApp-01/IMG/status131.png HTTP/1.1" 200 63837
0:0:0:0:0:0:0:1 - - [30/Jul/2020:20:00:40 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 5984
0:0:0:0:0:0:0:1 - - [30/Jul/2020:20:00:40 +0530] "GET /WebApp-01/IMG/status109.png HTTP/1.1" 200 66474
0:0:0:0:0:0:0:1 - - [30/Jul/2020:20:01:39 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4099
