127.0.0.1 - - [18/Aug/2020:12:09:13 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:15 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:15 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:15 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:15 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:15 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:15 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:15 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:15 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:15 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:16 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:17 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:17 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:30 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:30 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:30 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:30 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:30 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:30 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:30 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:30 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:30 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:30 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:30 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:30 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:30 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:09:34 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:10:41 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=njrbtst&agencyid=SJTA&filedate=2020-07-23&trxDate=2020-07-13&ViolType=NOR&NumNotice=1&violnumber=1 HTTP/1.1" 500 7956
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:11:31 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=njrbtst&agencyid=SJTA&filedate=2020-07-23&trxDate=2020-07-13&ViolType=NOR&NumNotice=1&violnumber=1 HTTP/1.1" 500 7956
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:11:35 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=njrbtst&agencyid=SJTA&filedate=2020-07-23&trxDate=2020-07-13&ViolType=NOR&NumNotice=1&violnumber=1 HTTP/1.1" 500 7956
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:12:42 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=njrbtst&agencyid=SJTA&filedate=2020-07-23&trxDate=2020-07-13&ViolType=NOR&NumNotice=1&violnumber=1 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [18/Aug/2020:12:13:11 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
