127.0.0.1 - - [05/Jan/2021:18:03:14 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:20 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:20 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:20 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:20 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:20 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:20 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:20 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:20 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:20 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:20 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:21 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:22 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:27 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:29 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:29 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:29 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:29 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:29 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:29 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:29 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:29 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:29 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:29 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:29 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:03:42 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:04:24 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=NJAETTST&agencyid=DRBA&filedate=2020-12-14&trxDate=2020-12-13&ViolType=NOR&NumNotice=3&violnumber=5 HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:04:49 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:05:03 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:05:24 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12254
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:05:24 +0530] "GET /WebApp-01/IMG/status3.png HTTP/1.1" 200 63634
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:06:02 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12254
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:06:02 +0530] "GET /WebApp-01/IMG/status4.png HTTP/1.1" 200 37888
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:06:38 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:06:55 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SC33AO2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:06:55 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SC33AO3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:06:55 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SC33AO1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:08:21 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:08:21 +0530] "GET /WebApp-01/IMG/status5.png HTTP/1.1" 200 38195
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:09:40 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:10:45 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:10:45 +0530] "GET /WebApp-01/IMG/status6.png HTTP/1.1" 200 64324
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:11:02 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:11:02 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:11:37 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12451
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:11:37 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12451
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:11:37 +0530] "GET /WebApp-01/IMG/status159.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:12:34 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 7960
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:12:34 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 7947
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:12:34 +0530] "GET /WebApp-01/IMG/status7.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:13:06 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:13:27 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12243
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:13:27 +0530] "GET /WebApp-01/IMG/status131.png HTTP/1.1" 200 63837
